Date,Open,High,Low,Close,Adj Close,Volume
2011-01-07,535.573303,538.768005,524.032715,527.697937,482.991852,8249359
2011-01-10,527.697937,530.199219,505.805481,511.872955,468.507629,8527785
2011-01-11,515.117188,519.426331,494.611572,502.115448,459.576752,9759380
2011-01-12,505.533051,512.962646,496.790924,510.560394,467.306274,10704489
2011-01-13,510.164154,514.696167,500.802887,502.907928,460.302094,11231253
2011-01-14,502.264038,510.065094,494.314392,496.047974,454.023285,8820096
2011-01-17,496.790924,499.267456,491.367340,494.264862,452.391296,6482466
2011-01-18,497.707245,499.267456,490.351959,492.754181,451.008545,6863207
2011-01-19,495.106873,497.781525,482.922363,485.473206,444.344452,10841350
2011-01-20,484.210175,484.210175,472.793396,480.371552,439.675049,19079928
2011-01-21,482.922363,491.590210,481.931763,488.766968,447.359161,9012481
2011-01-24,492.878021,493.274261,477.523560,481.238342,440.468292,10265008
2011-01-25,483.962524,487.850677,473.635406,474.749847,434.529541,9380240
2011-01-27,478.464630,479.158051,465.586700,466.924042,427.366699,12970523
2011-01-28,468.063232,468.509003,446.765106,452.213470,413.902466,15624401
2011-01-31,450.157959,460.064056,447.309937,455.333893,416.758545,11690921
2011-02-01,458.206665,459.494446,440.103271,443.545624,405.968903,17490324
2011-02-02,450.727539,459.593506,449.390228,456.324493,417.665161,13136923
2011-02-03,459.643036,469.301483,453.204071,467.518402,427.910767,7867523
2011-02-04,469.251953,469.251953,452.287750,455.680603,417.075867,9560127
2011-02-07,458.503845,464.992340,452.906891,460.163116,421.178589,6731599
2011-02-08,463.456879,463.456879,451.346680,453.327911,414.922455,9084777
2011-02-09,449.935059,464.199860,447.582367,452.857361,414.491791,17642226
2011-02-10,451.965820,456.076843,438.394470,445.601135,407.850250,13082506
2011-02-11,445.749725,453.204071,439.855621,450.702789,412.519745,9235695
2011-02-14,448.795868,454.813812,442.852203,453.105011,414.718414,13912350
2011-02-15,452.906891,467.964172,451.371460,466.428711,426.913300,12583448
2011-02-16,464.744690,470.936005,464.645630,467.642212,428.024048,5095674
2011-02-17,469.474854,473.239166,463.729309,472.496216,432.466858,6503194
2011-02-18,473.536346,476.978729,461.624268,463.382599,424.125305,7267671
2011-02-21,463.654999,475.938568,462.713928,473.684937,433.554840,11828176
2011-02-22,491.342560,499.960876,485.027435,487.801147,446.475128,41037923
2011-02-23,488.568848,496.444214,487.875427,493.150421,451.371277,14391641
2011-02-24,493.323792,494.611572,474.675537,477.573090,437.113647,15185029
2011-02-25,485.745605,486.513336,472.793396,478.588470,438.042999,6969301
2011-02-28,480.544922,492.481750,475.492798,477.597839,437.136292,10377944
2011-03-01,482.278473,491.689270,479.058990,489.782349,448.288513,5825263
2011-03-03,483.021454,487.875427,479.504761,484.111115,443.097717,9007869
2011-03-04,487.702057,492.729431,484.457825,486.488586,445.273834,7116308
2011-03-07,482.476593,487.033417,477.474030,483.937744,442.938995,5455539
2011-03-08,484.408295,491.540680,484.408295,487.850677,446.520477,5564621
2011-03-09,489.708069,497.484344,479.504761,492.258881,450.555237,14986402
2011-03-10,491.689270,491.837860,486.389526,487.751587,446.429779,4547537
2011-03-11,484.804535,492.778961,481.510773,491.367340,449.739227,6922700
2011-03-14,491.813110,505.582581,491.466400,504.393860,461.662140,13296395
2011-03-15,494.289642,519.872131,489.807129,513.755127,470.230377,26050461
2011-03-16,517.593750,522.546753,514.176147,518.633850,474.695709,9509259
2011-03-17,514.770508,519.475891,509.173553,510.585175,467.328888,5714194
2011-03-18,512.640686,512.640686,488.667908,491.837860,450.169891,18691614
2011-03-21,494.834473,495.304993,485.943726,490.500549,448.945831,7174835
2011-03-22,491.862640,497.731995,491.416870,495.131653,453.184631,4519732
2011-03-23,495.230713,503.551819,493.224731,501.867798,459.350098,5270322
2011-03-24,503.180359,506.176941,497.211914,500.406647,458.012695,5184456
2011-03-25,507.142792,510.139374,500.258057,508.480103,465.402222,7103608
2011-03-28,508.306763,513.309326,502.387878,508.034332,464.994171,8805198
2011-03-29,505.211090,511.154755,505.012970,506.573181,463.656769,8354066
2011-03-30,508.925903,513.878967,507.241852,511.402405,468.076935,5656801
2011-03-31,512.393005,522.497253,512.393005,519.624451,475.602448,14538613
2011-04-01,519.599731,527.945618,510.659454,513.334106,469.845032,8663538
2011-04-04,515.117188,522.447693,509.668854,520.392212,476.305084,6051061
2011-04-05,521.308533,524.528015,515.117188,518.906311,474.945068,4964260
2011-04-06,517.593750,522.175293,515.117188,517.519409,473.675659,4191928
2011-04-07,517.618469,518.856750,512.690186,516.058289,472.338348,4690528
2011-04-08,516.107788,520.516052,505.533051,507.142792,464.178223,5536031
2011-04-11,501.743958,504.938690,497.112854,497.930115,455.746002,5213369
2011-04-13,496.221313,507.192322,493.620972,506.102661,463.226166,8822291
2011-04-15,504.542450,507.613342,497.781525,505.681641,462.840790,6541425
2011-04-18,504.814850,517.445129,495.602173,499.837036,457.491364,6827310
2011-04-19,497.632935,503.948090,494.685883,501.075317,458.624756,5548593
2011-04-20,503.229889,510.411804,499.366516,508.133392,465.084839,4760561
2011-04-21,512.541626,517.197510,510.164154,515.414368,471.748962,6892223
2011-04-25,502.239258,505.706421,497.855835,499.936096,457.582062,8371144
2011-04-26,499.762756,499.762756,494.091492,495.874603,453.864624,8146584
2011-04-27,497.781525,499.812286,485.448425,488.420258,447.041809,11403773
2011-04-28,491.342560,491.837860,480.445862,481.634583,440.831055,16481230
2011-04-29,482.922363,489.361328,481.089752,487.256287,445.976440,6893126
2011-05-02,487.330597,488.766968,476.136688,477.845490,437.362976,6280802
2011-05-03,478.018860,479.158051,466.106781,467.518402,427.910767,10166156
2011-05-04,468.063232,473.883057,465.586700,469.375793,429.610748,5384888
2011-05-05,468.063232,477.251129,467.394562,470.514984,434.319977,9037540
2011-05-06,472.025665,475.492798,470.093994,473.041046,436.651672,5960945
2011-05-09,475.492798,478.489410,471.233185,475.146088,438.594818,3697955
2011-05-10,475.146088,477.424500,468.830963,470.911224,434.685699,3758167
2011-05-11,472.520966,474.700317,467.320282,473.239166,436.834595,3782919
2011-05-12,471.282715,472.892456,466.082001,468.310883,432.285370,4254560
2011-05-13,468.187042,476.483398,464.571320,469.549133,433.428375,6417629
2011-05-16,470.539764,471.233185,466.354431,468.063232,432.056793,3234259
2011-05-17,468.385162,468.954773,454.318512,456.002563,420.923889,8022731
2011-05-18,455.680603,457.587524,444.957245,446.690826,412.328552,11452028
2011-05-19,449.935059,456.671204,448.127197,453.451721,418.569366,8340495
2011-05-20,454.912872,458.553375,450.876160,457.265564,422.089752,6402610
2011-05-23,455.185303,456.671204,447.408997,450.430359,415.780396,6847126
